checkpoint,latitude,longitude,disease,confidence,severity,spread_risk,description,treatment,timestamp
1,29.427,30.836,Tomato___Tomato_Yellow_Leaf_Curl_Virus,100.0,High,High,فيروس تجعد وصفار أوراق الطماطم ينتشر عن طريق الذباب الأبيض ويسبب تجعد الأوراق واصفرارها.,لا يوجد علاج — أزل النباتات المصابة وأتلفها فوراً. | تحكم في أعداد الذباب الأبيض باستخدام مصائد لاصقة صفراء.,2026-05-03 00:49:20
2,29.427,30.836103,Tomato___Septoria_leaf_spot,83.5,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:20
3,29.427,30.836207,Potato___Late_blight,89.1,Critical,Very High,اللفحة المتأخرة على البطاطس هي أشد الأمراض تدميراً — سببها نفس الممرض الذي أحدث المجاعة الأيرلندية.,تصرف فوراً — هذا المرض يمكن أن يدمر حقلاً بأكمله في أيام. | أزل جميع النباتات المصابة وأحرقها.,2026-05-03 00:49:20
4,29.427,30.83631,Tomato___Late_blight,99.8,High,Very High,اللفحة المتأخرة مرض فطري سريع الانتشار يسبب آفات داكنة مشبعة بالماء.,تصرف فوراً — اللفحة المتأخرة تنتشر بسرعة شديدة. | أزل جميع أجزاء النبات المصابة وأحرقها (لا تضعها في السماد).,2026-05-03 00:49:20
5,29.427,30.836414,Potato___Early_blight,99.3,Medium,Medium,اللفحة المبكرة على البطاطس تسبب بقعاً داكنة بحلقات متحدة المركز على الأوراق القديمة.,أزل الأوراق المصابة وتخلص منها بعناية. | رش مبيداً فطرياً (مانكوزيب أو كلوروثالونيل) كل 10-14 يوماً.,2026-05-03 00:49:20
6,29.427,30.836517,Potato___Late_blight,71.1,Critical,Very High,اللفحة المتأخرة على البطاطس هي أشد الأمراض تدميراً — سببها نفس الممرض الذي أحدث المجاعة الأيرلندية.,تصرف فوراً — هذا المرض يمكن أن يدمر حقلاً بأكمله في أيام. | أزل جميع النباتات المصابة وأحرقها.,2026-05-03 00:49:20
7,29.427,30.836621,Tomato___Septoria_leaf_spot,99.5,Medium,Medium,تبقع سبتوريا يسبب بقعاً دائرية صغيرة بحدود داكنة على الأوراق السفلية.,أزل الأوراق السفلية المصابة فور ظهور البقع. | رش مبيداً فطرياً يحتوي على كلوروثالونيل أو نحاس.,2026-05-03 00:49:20
8,29.427,30.836724,Tomato___Early_blight,89.8,Medium,High,اللفحة المبكرة مرض فطري يسبب بقعاً بنية داكنة بحلقات صفراء على الأوراق.,قم بإزالة وإتلاف جميع الأوراق المصابة فوراً. | رش مبيد فطري نحاسي (مثل مزيج بوردو) كل 7-10 أيام.,2026-05-03 00:49:20
9,29.427,30.836827,Tomato___healthy,100.0,None,None,هذا النبات سليم. لم يتم اكتشاف أي مرض.,استمر في جدول الري والتسميد المنتظم. | راقب أسبوعياً للكشف المبكر عن علامات الأمراض.,2026-05-03 00:49:20
10,29.427,30.836931,Tomato___Tomato_Yellow_Leaf_Curl_Virus,100.0,High,High,فيروس تجعد وصفار أوراق الطماطم ينتشر عن طريق الذباب الأبيض ويسبب تجعد الأوراق واصفرارها.,لا يوجد علاج — أزل النباتات المصابة وأتلفها فوراً. | تحكم في أعداد الذباب الأبيض باستخدام مصائد لاصقة صفراء.,2026-05-03 00:49:20
